,California,Florida,Kansas,Virginia,Texas,North Carolina,New York,Arizona,New Jersey,Michigan,Massachusetts,Georgia,Tennessee,Hawaii,Illinois,Nevada,Montana,Colorado,Missouri,Minnesota,Oregon,Utah,the District of Columbia,Washington,New Hampshire,Pennsylvania,Alabama,Idaho,Wisconsin,Vermont,South Carolina,Rhode Island,Indiana,Nebraska,Alaska,Connecticut,Wyoming,Ohio,West Virginia,Arkansas,Kentucky,Maryland,Delaware,New Mexico,Maine,Oklahoma,Mississippi,Iowa,South Dakota,Louisiana,North Dakota
2000-01-01,202349.0,115924.0,93458.0,134765.0,113853.0,134463.0,148583.0,136047.0,185026.0,122575.0,206462.0,132897.0,113733.0,222686.0,147092.0,163711.0,,186199.0,99994.0,134929.0,160984.0,179617.0,193205.0,175273.0,140557.0,105735.0,100750.0,125502.0,117574.0,126694.0,122638.0,143653.0,103058.0,117083.0,133152.0,173083.0,,109754.0,66852.0,79564.0,91638.0,162930.0,149626.0,,114334.0,78948.0,83916.0,93301.0,115873.0,106378.0,
2000-02-01,203209.0,116267.0,93518.0,135249.0,113977.0,134793.0,149343.0,136376.0,185790.0,122779.0,207444.0,133346.0,113920.0,222566.0,147414.0,163758.0,,187106.0,100195.0,135611.0,161498.0,179765.0,194208.0,175874.0,141252.0,106093.0,101022.0,125455.0,117625.0,127062.0,123044.0,144608.0,102995.0,117392.0,133340.0,174029.0,,109916.0,66908.0,79734.0,91743.0,162955.0,150017.0,,114922.0,79013.0,83929.0,93583.0,115613.0,106726.0,
2000-03-01,204291.0,116629.0,93683.0,135700.0,114016.0,135075.0,149978.0,136764.0,186431.0,123170.0,208469.0,133792.0,114065.0,223061.0,147853.0,164076.0,,187965.0,100442.0,136147.0,161897.0,179973.0,195143.0,176390.0,141978.0,106382.0,101171.0,125567.0,117867.0,127531.0,123315.0,145483.0,102897.0,117624.0,133493.0,174911.0,,110088.0,66978.0,79883.0,91876.0,163158.0,150421.0,,115360.0,79226.0,83974.0,93815.0,115250.0,106933.0,
2000-04-01,206568.0,117331.0,93890.0,136512.0,114222.0,135661.0,151319.0,137519.0,187808.0,123864.0,210402.0,134687.0,114393.0,223751.0,148716.0,164749.0,,189906.0,100964.0,137391.0,162721.0,180460.0,197259.0,177391.0,142960.0,106946.0,101511.0,125739.0,118174.0,128377.0,123942.0,147151.0,102441.0,118007.0,133621.0,176297.0,,110535.0,67102.0,80185.0,92170.0,163576.0,151274.0,,116326.0,79558.0,84131.0,94298.0,114848.0,107398.0,
2000-05-01,209009.0,117999.0,94152.0,137222.0,114272.0,136211.0,152530.0,138306.0,189005.0,124716.0,212284.0,135540.0,114683.0,225107.0,149604.0,165465.0,,191827.0,101538.0,138549.0,163322.0,182327.0,199237.0,178336.0,143984.0,107433.0,101831.0,126150.0,118643.0,129204.0,124416.0,148581.0,102310.0,118130.0,133871.0,177255.0,,111076.0,67225.0,80407.0,92485.0,164296.0,152152.0,,117075.0,79952.0,84548.0,94755.0,114776.0,107785.0,
2000-06-01,211549.0,118664.0,94403.0,137865.0,114343.0,136751.0,153775.0,138920.0,190369.0,125523.0,214238.0,136379.0,114922.0,226446.0,150470.0,166111.0,,193914.0,102105.0,139865.0,163840.0,183930.0,201493.0,179124.0,144985.0,107877.0,102190.0,126549.0,119089.0,129873.0,124931.0,149446.0,102423.0,118187.0,133969.0,178181.0,,111658.0,67398.0,80598.0,92784.0,165033.0,153025.0,,117899.0,80267.0,85022.0,95153.0,114631.0,108170.0,
2000-07-01,214188.0,119318.0,94745.0,138691.0,114347.0,137237.0,154789.0,139574.0,191812.0,126439.0,216562.0,137187.0,115175.0,227714.0,151423.0,166620.0,,195916.0,102702.0,141247.0,164223.0,185461.0,203519.0,179996.0,146458.0,108326.0,102469.0,126894.0,119667.0,130511.0,125387.0,150257.0,103021.0,118217.0,134364.0,179199.0,,112149.0,67609.0,80771.0,93117.0,165851.0,153857.0,,118723.0,80603.0,85402.0,95532.0,114505.0,108508.0,
2000-08-01,216985.0,119991.0,95105.0,139633.0,114564.0,137676.0,155630.0,140205.0,193583.0,127284.0,219445.0,138059.0,115424.0,229287.0,152530.0,167280.0,,198162.0,103371.0,143348.0,164695.0,185655.0,205194.0,180727.0,148090.0,108717.0,102711.0,127243.0,120255.0,131163.0,125916.0,151096.0,103445.0,118439.0,134359.0,180457.0,,112607.0,67910.0,81008.0,93500.0,166524.0,154559.0,,119546.0,80904.0,85729.0,95813.0,114247.0,108720.0,
2000-09-01,219797.0,120677.0,95432.0,140648.0,114814.0,138106.0,156365.0,140957.0,195484.0,128059.0,222600.0,138944.0,115752.0,230777.0,153673.0,167992.0,,200429.0,104034.0,145279.0,165055.0,186146.0,206403.0,181389.0,149796.0,109131.0,103007.0,127509.0,120818.0,131903.0,126468.0,152251.0,103756.0,118681.0,134549.0,181696.0,,113062.0,68137.0,81292.0,93928.0,167239.0,155196.0,,120407.0,81182.0,86024.0,96144.0,114608.0,109072.0,
2000-10-01,222464.0,121376.0,95801.0,141571.0,115076.0,138585.0,157206.0,141648.0,197351.0,128780.0,225885.0,139887.0,116047.0,232404.0,154805.0,168696.0,,202664.0,104750.0,147266.0,165452.0,186573.0,206353.0,181969.0,151844.0,109525.0,103370.0,127803.0,121377.0,132862.0,127008.0,153330.0,104142.0,118936.0,134453.0,183103.0,,113510.0,68447.0,81583.0,94305.0,168028.0,155767.0,,121194.0,81442.0,86438.0,96581.0,114851.0,109512.0,
2000-11-01,225134.0,122114.0,96229.0,142547.0,115407.0,139160.0,158326.0,142296.0,198920.0,129586.0,228965.0,140815.0,116404.0,233230.0,155834.0,169408.0,,204801.0,105528.0,148717.0,165878.0,187204.0,206760.0,182632.0,153687.0,110008.0,103793.0,128023.0,121894.0,133800.0,127560.0,154363.0,104709.0,119262.0,134760.0,184502.0,,113963.0,68902.0,82033.0,94743.0,168865.0,156620.0,,122274.0,81790.0,86878.0,96995.0,114778.0,110133.0,
2000-12-01,227756.0,122884.0,96740.0,143566.0,115786.0,139771.0,159527.0,142931.0,200317.0,130451.0,232073.0,141841.0,116827.0,234118.0,156810.0,170084.0,,206852.0,106228.0,150457.0,166408.0,187775.0,207291.0,183506.0,155621.0,110512.0,104265.0,128277.0,122435.0,134749.0,127988.0,155552.0,105390.0,119601.0,135166.0,185715.0,,114411.0,69506.0,82535.0,95212.0,169817.0,157352.0,,123441.0,82223.0,87507.0,97499.0,114599.0,110743.0,
2001-01-01,229860.0,123652.0,97401.0,144603.0,116021.0,140420.0,160676.0,143554.0,201670.0,131252.0,234796.0,142852.0,117334.0,234878.0,157721.0,170777.0,,208975.0,106711.0,151946.0,167026.0,188344.0,208549.0,184416.0,157314.0,111014.0,104805.0,128770.0,122934.0,135560.0,128578.0,156690.0,105874.0,120191.0,138585.0,186861.0,,114843.0,70207.0,83151.0,95800.0,170547.0,158252.0,,124930.0,82710.0,88089.0,97786.0,114740.0,111444.0,
2001-02-01,232039.0,124462.0,98151.0,145490.0,115978.0,140867.0,161632.0,144185.0,203381.0,131883.0,237353.0,143718.0,117712.0,235677.0,158539.0,171577.0,,210943.0,107056.0,153336.0,167514.0,188625.0,209694.0,185343.0,159309.0,111499.0,105238.0,129232.0,123503.0,136623.0,129085.0,157913.0,106015.0,120497.0,143164.0,187865.0,,115211.0,70527.0,83450.0,96311.0,171280.0,158944.0,,126218.0,83163.0,88403.0,98125.0,115085.0,112046.0,
2001-03-01,234529.0,125319.0,98901.0,146459.0,115772.0,141264.0,162578.0,144821.0,205081.0,132452.0,239961.0,144477.0,118058.0,236346.0,159495.0,172423.0,,212965.0,107538.0,154798.0,168063.0,188811.0,211153.0,186204.0,161106.0,112028.0,105601.0,129912.0,124095.0,137734.0,129651.0,159283.0,106070.0,116811.0,148641.0,189166.0,,115595.0,70819.0,83692.0,96812.0,171912.0,159817.0,,127450.0,83532.0,88621.0,98329.0,115736.0,112664.0,
2001-04-01,237667.0,126251.0,99478.0,147454.0,115692.0,141547.0,163587.0,145465.0,206945.0,132985.0,242695.0,145158.0,118326.0,237176.0,160419.0,173282.0,,214896.0,108164.0,156410.0,168500.0,189002.0,213402.0,187024.0,163023.0,112603.0,105848.0,130477.0,124762.0,138832.0,129968.0,160929.0,106107.0,112894.0,151785.0,190589.0,,115981.0,70933.0,83804.0,97236.0,172867.0,160590.0,,128387.0,83862.0,88829.0,98685.0,116212.0,113174.0,
2001-05-01,240568.0,127220.0,100000.0,148570.0,115786.0,141895.0,164667.0,146110.0,208663.0,133611.0,245458.0,145914.0,118632.0,238440.0,161538.0,174173.0,,216791.0,108840.0,157940.0,168996.0,189096.0,215632.0,187636.0,165158.0,113088.0,106099.0,130995.0,125367.0,139750.0,130379.0,162531.0,106418.0,109206.0,154423.0,192096.0,,116356.0,71260.0,84117.0,97673.0,173877.0,161414.0,,129637.0,84118.0,89220.0,99031.0,116954.0,113593.0,
